region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23,region,city,average_net_emissions
13,16,Skåne,Landskrona,-175388.16854512386,Skaane,Landskrona,-7972.2
13,17,Skåne,Lomma,-45222.71183833458,Skaane,Lomma,-2055.6
13,18,Skåne,Lund,-1129926.6966297678,Skaane,Lund,-51360.3
13,19,Skåne,Malmö,-79998.74917291201,Skaane,Malmoe,-3636.3
13,20,Skåne,Örkelljunga,-727445.3677485025,Skaane,Oerkelljunga,-33065.7
13,21,Skåne,Osby,-1617594.0294221377,Skaane,Osby,-73527.0
13,22,Skåne,Östra Göinge,-968847.5266436476,Skaane,Oestra goeinge,-44038.5
13,23,Skåne,Perstorp,-531693.7193706265,Skaane,Perstorp,-24167.9
13,24,Skåne,Simrishamn,-958908.6793367836,Skaane,Simrishamn,-43586.8
13,25,Skåne,Sjöbo,-1302581.1254880377,Skaane,Sjoebo,-59208.2
13,26,Skåne,Skurup,-153844.75296880308,Skaane,Skurup,-6992.9
13,27,Skåne,Staffanstorp,-25580.11229336862,Skaane,Staffanstorp,-1162.7
13,28,Skåne,Svalöv,-1763586.1305987667,Skaane,Svaloev,-80163.0
13,29,Skåne,Svedala,-405626.0931619039,Skaane,Svedala,-18437.5
13,30,Skåne,Tomelilla,-1066525.669516045,Skaane,Tomelilla,-48478.4
13,31,Skåne,Trelleborg,-84030.76947591039,Skaane,Trelleborg,-3819.6
13,32,Skåne,Vellinge,-148703.39464263406,Skaane,Vellinge,-6759.2
13,33,Skåne,Ystad,-425728.85288514313,Skaane,Ystad,-19351.3
14,1,Södermanland,Eskilstuna,-553838.0378093903,Soedermanland,Eskilstuna,-25174.5
14,2,Södermanland,Flen,-549211.6873982344,Soedermanland,Flen,-24964.2
14,3,Södermanland,Gnesta,-877547.1463495542,Soedermanland,Gnesta,-39888.5
14,4,Södermanland,Katrineholm,-95825.5705301767,Soedermanland,Katrineholm,-4355.7
14,5,Södermanland,Nyköping,-1926318.7912065985,Soedermanland,Nykoeping,-87559.9
14,6,Södermanland,Oxelösund,-161871.29278215984,Soedermanland,Oxeloesund,-7357.8
14,7,Södermanland,Strängnäs,-1630778.4473936977,Soedermanland,Straengnaes,-74126.3
14,8,Södermanland,Trosa,-998595.8696338054,Soedermanland,Trosa,-45390.7
